년도,시군구코드,시도명,,폴리곤,총사고건수,총사망자수,총중상자수,총경상자수,총부상신고자수,사고분석유형명,중심점UTMK X좌표,중심점UTMK Y좌표
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60023,"POLYGON  (( 1013716.00000000 1642707.00000000, 1013714.46280000 1642722.60720000, 1013709.91040000 1642737.61470000, 1013708.37690000 1642740.48360000, 1013705.91040000 1642748.61470000, 1013698.51760000 1642762.44560000, 1013696.29820000 1642765.14990000",13,0,6,14,1,U턴중 / 기타 / 신호위반,1013584,1642761
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60024,"POLYGON  (( 1014322.44560000 1641243.48240000, 1014322.94450000 1641243.89190000, 1014332.00000000 1641243.00000000, 1014347.60720000 1641244.53720000, 1014362.61470000 1641249.08960000, 1014376.44560000 1641256.48240000, 1014388.56850000 1641266.43150000",16,0,2,22,0,기타 / 신호위반 / 안전거리미확보,1014301,1641381
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60025,"POLYGON  (( 1014986.00000000 1641225.00000000, 1014984.46280000 1641240.60720000, 1014982.76000000 1641246.22060000, 1014985.00000000 1641246.00000000, 1015000.60720000 1641247.53720000, 1015015.61470000 1641252.08960000, 1015029.44560000 1641259.48240000",22,0,3,36,0,U턴중 / 기타 / 신호위반,1014903,1641317
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60026,"POLYGON  (( 1014954.90010000 1640670.05280000, 1014961.61470000 1640672.08960000, 1014975.44560000 1640679.48240000, 1014987.56850000 1640689.43150000, 1014997.51760000 1640701.55440000, 1014997.87290000 1640702.21920000, 1015000.56850000 1640704.43150000",37,0,2,54,0,기타 / 신호위반 / 안전거리미확보,1014891,1640827
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60027,"POLYGON  (( 1015995.70800000 1640745.90460000, 1015997.56850000 1640747.43150000, 1016007.51760000 1640759.55440000, 1016011.07110000 1640766.20250000, 1016012.56850000 1640767.43150000, 1016022.51760000 1640779.55440000, 1016029.91040000 1640793.38530000",13,0,1,12,0,U턴중 / 기타,1015901,1640792
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60028,"POLYGON  (( 1019365.55590000 1640454.49700000, 1019369.70800000 1640457.90460000, 1019373.61470000 1640459.08960000, 1019387.44560000 1640466.48240000, 1019399.56850000 1640476.43150000, 1019409.51760000 1640488.55440000, 1019416.91040000 1640502.38530000",13,1,2,14,1,기타 / 신호위반 / 안전거리미확보,1019281,1640557
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60029,"POLYGON  (( 1016075.00000000 1640128.00000000, 1016073.46280000 1640143.60720000, 1016072.57520000 1640146.53340000, 1016074.00000000 1640161.00000000, 1016072.46280000 1640176.60720000, 1016067.91040000 1640191.61470000, 1016064.76980000 1640197.49020000",29,0,4,39,1,U턴중 / 기타 / 신호위반,1015943,1640258
2019,46130,전라남도 여수시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60030,"POLYGON  (( 1015381.91740000 1640421.00810000, 1015382.00000000 1640421.00000000, 1015397.60720000 1640422.53720000, 1015412.61470000 1640427.08960000, 1015426.44560000 1640434.48240000, 1015438.56850000 1640444.43150000, 1015448.51760000 1640456.55440000",30,0,3,42,4,U턴중 / 기타 / 안전거리미확보,1015249,1640563
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60032,"POLYGON  (( 999209.00000000 1659921.29550000, 999212.00000000 1659921.00000000, 999227.60720000 1659922.53720000, 999242.61470000 1659927.08960000, 999256.44560000 1659934.48240000, 999268.56850000 1659944.43150000, 999278.51760000 1659956.55440000, 99928",11,0,2,15,0,기타,999159,1660047
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60033,"POLYGON  (( 1000207.34590000 1661105.45840000, 1000212.00000000 1661105.00000000, 1000227.60720000 1661106.53720000, 1000242.61470000 1661111.08960000, 1000256.44560000 1661118.48240000, 1000268.56850000 1661128.43150000, 1000278.51760000 1661140.55440000",19,1,7,25,0,기타 / 안전거리미확보,1000119,1661197
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60034,"POLYGON  (( 1002063.52070000 1661319.93770000, 1002069.60720000 1661320.53720000, 1002084.61470000 1661325.08960000, 1002098.44560000 1661332.48240000, 1002110.56850000 1661342.43150000, 1002120.51760000 1661354.55440000, 1002127.91040000 1661368.38530000",16,0,8,25,2,U턴중 / 기타 / 안전거리미확보,1002057,1661480
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60035,"POLYGON  (( 1003808.45010000 1663074.43300000, 1003823.00000000 1663073.00000000, 1003838.60720000 1663074.53720000, 1003853.61470000 1663079.08960000, 1003855.57960000 1663080.13990000, 1003857.00000000 1663080.00000000, 1003871.00000000 1663081.37890000",13,0,1,24,0,기타 / 안전거리미확보,1003853,1663164
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60036,"POLYGON  (( 998934.46590000 1662880.42430000, 998936.44560000 1662881.48240000, 998948.56850000 1662891.43150000, 998958.51760000 1662903.55440000, 998965.91040000 1662917.38530000, 998968.21020000 1662924.96690000, 998968.61470000 1662925.08960000, 99898",11,0,5,12,0,기타 / 안전거리미확보,998885,1662967
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60037,"POLYGON  (( 1001686.44560000 1662790.48240000, 1001688.04190000 1662791.79250000, 1001688.86280000 1662792.04150000, 1001694.38530000 1662789.08960000, 1001709.39280000 1662784.53720000, 1001725.00000000 1662783.00000000, 1001740.60720000 1662784.53720000",18,0,3,16,1,기타,1001656,1662889
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60038,"POLYGON  (( 998932.00000000 1662190.00000000, 998930.46280000 1662205.60720000, 998925.91040000 1662220.61470000, 998923.79910000 1662224.56460000, 998926.91040000 1662230.38530000, 998931.46280000 1662245.39280000, 998933.00000000 1662261.00000000, 99893",15,0,4,16,2,기타 / 안전거리미확보,998815,1662262
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60039,"POLYGON  (( 1001870.17720000 1661708.20090000, 1001870.38530000 1661708.08960000, 1001885.39280000 1661703.53720000, 1001901.00000000 1661702.00000000, 1001916.60720000 1661703.53720000, 1001931.61470000 1661708.08960000, 1001945.44560000 1661715.48240000",100,0,9,119,8,U턴중 / 기타 / 안전거리미확보,1001793,1662269
2019,46150,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 발생지역,60040,"POLYGON  (( 999170.47180000 1662180.40620000, 999182.61470000 1662184.08960000, 999196.44560000 1662191.48240000, 999208.56850000 1662201.43150000, 999218.51760000 1662213.55440000, 999225.91040000 1662227.38530000, 999230.46280000 1662242.39280000, 99923",10,0,1,17,0,기타,999091,1662279
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60042,"POLYGON  (( 935852.00000000 1668950.00000000, 935850.07850000 1668969.50900000, 935844.38800000 1668988.26830000, 935835.14700000 1669005.55700000, 935827.34300000 1669015.06620000, 935828.07850000 1669017.49100000, 935830.00000000 1669037.00000000, 93582",7,0,0,12,1,기타 / 신호위반,935729,1669024
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60043,"POLYGON  (( 928632.00000000 1670583.29550000, 928635.00000000 1670583.00000000, 928654.50900000 1670584.92150000, 928673.26830000 1670590.61200000, 928690.55700000 1670599.85300000, 928704.53690000 1670611.32600000, 928718.00000000 1670610.00000000, 92873",7,0,2,7,0,기타 / 신호위반 / 안전거리미확보,928699,1670705
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60044,"POLYGON  (( 934234.39840000 1669735.63020000, 934247.50900000 1669736.92150000, 934266.26830000 1669742.61200000, 934283.55700000 1669751.85300000, 934298.71070000 1669764.28930000, 934311.14700000 1669779.44300000, 934320.38800000 1669796.73170000, 93432",6,0,1,8,0,기타 / 안전거리미확보,934186,1669837
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60045,"POLYGON  (( 939722.72280000 1672496.74550000, 939724.50900000 1672496.92150000, 939743.26830000 1672502.61200000, 939760.55700000 1672511.85300000, 939775.71070000 1672524.28930000, 939788.14700000 1672539.44300000, 939797.38800000 1672556.73170000, 93980",7,0,0,13,0,U턴중 / 기타 / 안전거리미확보,939637,1672601
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60046,"POLYGON  (( 940535.00000000 1672966.00000000, 940533.07850000 1672985.50900000, 940527.38800000 1673004.26830000, 940518.14700000 1673021.55700000, 940505.71070000 1673036.71070000, 940505.47810000 1673036.90150000, 940500.71070000 1673042.71070000, 94048",9,0,2,15,1,기타,940428,1672968
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60047,"POLYGON  (( 939691.00000000 1673096.00000000, 939689.91980000 1673106.96760000, 939690.07850000 1673107.49100000, 939690.15050000 1673108.22160000, 939702.55700000 1673114.85300000, 939717.71070000 1673127.28930000, 939730.14700000 1673142.44300000, 93973",7,0,0,12,0,기타 / 안전거리미확보,939614,1673147
2019,46170,전라남도 나주시내에서 2019년도에 반경100m 이내 다른사고6건 이상 발생지역,60048,"POLYGON  (( 940180.20310000 1672055.41880000, 940185.14700000 1672061.44300000, 940194.38800000 1672078.73170000, 940200.07850000 1672097.49100000, 940202.00000000 1672117.00000000, 940200.07850000 1672136.50900000, 940194.38800000 1672155.26830000, 94018",6,0,2,7,1,기타,940097,1672114
